time,component_id,component_type,action,values,PDV,addition
26.138045137531744,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 6, 'run_count': 6, 'out_time': 26.138045137531744}","{'containerId': '050972d59b03446884dc5a8bb42b6915', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.4}, 'Brix': {'type': 'number', 'value': 11.2}}}}}",
26.138045137531744,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,GENERATE,"{'input_count': 6, 'run_count': 6, 'out_time': 26.138045137531744}","{'containerId': '050972d59b03446884dc5a8bb42b6915', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.4}, 'Brix': {'type': 'number', 'value': 11.2}}}}}",
26.138045137531744,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,OUT,"{'input_count': 6, 'run_count': 6, 'out_time': 26.138045137531744}","{'containerId': '050972d59b03446884dc5a8bb42b6915', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.4}, 'Brix': {'type': 'number', 'value': 11.2}}}}}",
29.68253619637956,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 7, 'run_count': 7, 'out_time': 29.68253619637956}","{'containerId': '98c5b9dd09fa4cd98fa20b0d48226298', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 2.9}, 'Brix': {'type': 'number', 'value': 11.0}}}}}",
29.68253619637956,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,GENERATE,"{'input_count': 7, 'run_count': 7, 'out_time': 29.68253619637956}","{'containerId': '98c5b9dd09fa4cd98fa20b0d48226298', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 2.9}, 'Brix': {'type': 'number', 'value': 11.0}}}}}",
29.68253619637956,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,OUT,"{'input_count': 7, 'run_count': 7, 'out_time': 29.68253619637956}","{'containerId': '98c5b9dd09fa4cd98fa20b0d48226298', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 2.9}, 'Brix': {'type': 'number', 'value': 11.0}}}}}",
33.782158535672394,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 8, 'run_count': 8, 'out_time': 33.782158535672394}","{'containerId': '5f57a1ed41cb4498bfe12320d18c3f81', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.5}, 'Brix': {'type': 'number', 'value': 11.3}}}}}",
33.782158535672394,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,GENERATE,"{'input_count': 8, 'run_count': 8, 'out_time': 33.782158535672394}","{'containerId': '5f57a1ed41cb4498bfe12320d18c3f81', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.5}, 'Brix': {'type': 'number', 'value': 11.3}}}}}",
33.782158535672394,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,OUT,"{'input_count': 8, 'run_count': 8, 'out_time': 33.782158535672394}","{'containerId': '5f57a1ed41cb4498bfe12320d18c3f81', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.5}, 'Brix': {'type': 'number', 'value': 11.3}}}}}",
37.43692699146562,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 9, 'run_count': 9, 'out_time': 37.43692699146562}","{'containerId': '73d0946618194fb490b12d96f8504a83', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.0}, 'Brix': {'type': 'number', 'value': 12.9}}}}}",
37.43692699146562,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,GENERATE,"{'input_count': 9, 'run_count': 9, 'out_time': 37.43692699146562}","{'containerId': '73d0946618194fb490b12d96f8504a83', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.0}, 'Brix': {'type': 'number', 'value': 12.9}}}}}",
37.43692699146562,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,OUT,"{'input_count': 9, 'run_count': 9, 'out_time': 37.43692699146562}","{'containerId': '73d0946618194fb490b12d96f8504a83', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.0}, 'Brix': {'type': 'number', 'value': 12.9}}}}}",
41.02551769567093,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 10, 'run_count': 10, 'out_time': 41.02551769567093}","{'containerId': 'a4940561b98b43939c1e3f4c8082a3b0', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.7}, 'Brix': {'type': 'number', 'value': 10.9}}}}}",
41.02551769567093,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,GENERATE,"{'input_count': 10, 'run_count': 10, 'out_time': 41.02551769567093}","{'containerId': 'a4940561b98b43939c1e3f4c8082a3b0', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.7}, 'Brix': {'type': 'number', 'value': 10.9}}}}}",
41.02551769567093,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,OUT,"{'input_count': 10, 'run_count': 10, 'out_time': 41.02551769567093}","{'containerId': 'a4940561b98b43939c1e3f4c8082a3b0', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.7}, 'Brix': {'type': 'number', 'value': 10.9}}}}}",
